Date,Date,Close,daily_risk_free_rate,new_rfr,signal,margin,margin_high_rfr,position,cash,cash_with_high_rfr,bank_account,bank_account_with_high_rfr,excess_return,theta,pnl,pnl_capital,pnl_total,cumulative_pnl,cumulative_pnl_capital,cumulative_pnl_total,turn_over_theta,cumulative_turn_over_theta,turn_over_units,Upper_bound,Lower_bound,pnl_150,pnl_capital_150,pnl_total_150,cumulative_pnl_150,cumulative_pnl_capital_150,cumulative_pnl_total_150
2014-01-02,2014-01-02,30.055,3.174603174603174e-06,4.7619047619047615e-06,0,200000.0,200000.0,0.0,200000.0,200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000000.0,-2000000.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-03,2014-01-03,30.035,3.174603174603174e-06,4.7619047619047615e-06,0,200000.0,200000.0,0.0,200000.0,200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000000.0,-2000000.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-06,2014-01-06,30.16,3.174603174603174e-06,4.7619047619047615e-06,1,200000.0,200000.0,66312.99734748011,200000.0,200000.0,0.0,0.0,0.0,2000000.0,0.0,0.0,0.0,0.0,0.0,0.0,2000000.0,2000000.0,66312.99734748011,2000000.0,-2000000.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-07,2014-01-07,30.26,2.777777777777778e-06,4.166666666666667e-06,0,206603.8481310128,206601.07953293686,66093.85327164573,213235.16628603806,213232.40689810063,6631.318155025242,6631.327365163763,0.0033156498673740523,1999999.9999999998,6603.848131012812,6631.318155025242,13235.16628603806,6603.848131012812,6631.318155025242,13235.16628603806,2.3283064365386963e-10,2000000.0000000002,219.1440758343815,2066038.4813101282,-2066038.4813101282,6601.079532936856,6631.327365163763,13232.406898100628,6601.079532936856,6631.327365163763,13232.406898100628
2014-01-08,2014-01-08,30.15,2.777777777777778e-06,4.166666666666667e-06,0,199327.96871557602,199322.42233972228,66093.85327164573,205959.30529092948,205953.76812523985,6631.336575353451,6631.345785517555,-0.003635161929940614,1992729.6761401186,-7275.879415436793,0.018420328208776482,-7275.860995108582,-672.0312844239816,6631.336575353451,5959.305290929478,7270.323859881144,2007270.3238598814,0.0,1993279.6871557601,-1993279.6871557601,-7278.657193214574,0.018420353791952948,-7278.638772860781,-677.5776602777187,6631.345785517555,5953.768125239847
2014-01-09,2014-01-09,30.325001,2.777777777777778e-06,4.166666666666667e-06,0,210825.37975797465,210817.08091438317,65730.57284172093,228473.24475578894,228464.97042305296,17647.864997814282,17647.889508669803,0.00580434494195694,1993279.6871557601,11497.411042398628,11016.528422460831,22513.93946485946,10825.379757974646,17647.864997814282,28473.24475578894,550.011015641503,2007820.3348755229,363.2804299247946,2108253.7975797467,-2108253.7975797467,11494.65857466089,11016.543723152248,22511.202297813114,10817.080914383172,17647.889508669803,28464.97042305296
2014-01-10,2014-01-10,30.690001,2.777777777777778e-06,4.166666666666667e-06,0,234811.5019571828,234800.4346695814,65730.57284172093,252459.4159768443,252448.3732001665,17647.914019661497,17647.938530585106,0.012036273304657053,2017271.3462429882,23986.122199208156,0.049021847215044545,23986.171221055352,34811.5019571828,17647.914019661497,52459.41597684429,23991.659087228123,2031811.993962751,0.0,2348115.019571828,-2348115.019571828,23983.353755198215,0.0490219153034559,23983.402777113544,34800.43466958139,17647.938530585106,52448.373200166505
2014-01-13,2014-01-13,30.795,2.777777777777778e-06,4.166666666666667e-06,0,241707.54284347352,241693.67379011342,65730.57284172093,259355.50588511841,259341.66134275,17647.963041644885,17647.98755263658,0.003421277177540755,2024172.9906607962,6896.040886290721,0.04902198338822927,6896.089908274123,41707.54284347352,17647.963041644885,59355.505885118415,6901.6444178079255,2038713.638380559,0.0,2417075.428434735,-2417075.428434735,6893.239120532031,0.04902205147300265,6893.288142583508,41693.67379011342,17647.98755263658,59341.66134275001
2014-01-14,2014-01-14,30.695,2.777777777777778e-06,4.166666666666667e-06,0,235128.8628565495,235112.18245181348,65730.57284172093,252776.87492031395,252760.2190266377,17648.012063764447,17648.036574824226,-0.003247280402662816,2017599.933376624,-6578.67998692402,0.049022119561414,-6578.63096480447,35128.8628565495,17648.012063764447,52776.874920313945,6573.057284172159,2045286.695664731,0.0,2351288.628565495,-2351288.628565495,-6581.491338299937,0.049022187646187376,-6581.442316112312,35112.18245181348,17648.036574824226,52760.2190266377
2014-01-15,2014-01-15,30.665001,2.777777777777778e-06,4.166666666666667e-06,0,233151.40695761133,233131.92433074562,65730.57284172093,250799.4680436315,250780.00992789367,17648.061086020178,17648.085597148045,-0.0009773252972796907,2015628.0819219453,-1977.4558989381767,0.04902225573096075,-1977.4068766824494,33151.406957611325,17648.061086020178,50799.468043631496,1971.85145467869,2047258.5471194098,0.0,2331514.0695761135,-2331514.0695761135,-1980.2581210678618,0.049022323819372104,-1980.2090987440315,33131.92433074562,17648.085597148045,50780.00992789367
